Dokument,Stamm,Typ,Sprache,Zuordnung,Auf_neuer_Site,URL,Endung
2.3-DOP-NEODUR-HE-3-green-en.pdf,2.3-dop-neodur-he-3-green,DoP/CE/Leistungserklärung,en,(nur Mediathek),ja,https://www.korodur.de/wp-content/uploads/2024/07/2.3-DOP-NEODUR-HE-3-green-en.pdf,pdf
2.3-DOP-NEODUR-HE-3-green-en-1.pdf,2.3-dop-neodur-he-3-green-en-1,DoP/CE/Leistungserklärung,—,Déclaration de performance [page]; NEODUR HE 3 green [product],nein,https://www.korodur.de/wp-content/uploads/2024/07/2.3-DOP-NEODUR-HE-3-green-en-1.pdf,pdf
DOP-Cement-All-Plus.pdf,dop-cement-all-plus,DoP/CE/Leistungserklärung,—,Declarations of Performance [page],nein,https://www.korodur.de/wp-content/uploads/2024/03/DOP-Cement-All-Plus.pdf,pdf
DOP-DOT-Concrete-Mix-en.pdf,dop-dot-concrete-mix,DoP/CE/Leistungserklärung,en,Declarations of Performance [page],ja,https://www.korodur.de/wp-content/uploads/2024/03/DOP-DOT-Concrete-Mix-en.pdf,pdf
DOP_Asphalt_Repair_Mix_en.pdf,dop_asphalt_repair_mix,DoP/CE/Leistungserklärung,en,Declarations of Performance [page],ja,https://www.korodur.de/wp-content/uploads/2024/03/DOP_Asphalt_Repair_Mix_en.pdf,pdf
DOP_Mortar_Mix_SVS_5_en.pdf,dop_mortar_mix_svs_5,DoP/CE/Leistungserklärung,en,Declarations of Performance [page],ja,https://www.korodur.de/wp-content/uploads/2024/03/DOP_Mortar_Mix_SVS_5_en.pdf,pdf
Designfloor_SDB_en.pdf,designfloor_sdb,SDB/SDS,en,Material safety data sheets [page],nein,https://www.korodur.de/wp-content/uploads/2024/06/Designfloor_SDB_en.pdf,pdf
DUROP_SDB_en.pdf,durop_sdb,SDB/SDS,en,Material safety data sheets [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/DUROP_SDB_en.pdf,pdf
Industrial_floor_dry_mortars_SDB_en.pdf,industrial_floor_dry_mortars_sdb,SDB/SDS,en,Material safety data sheets [page],nein,https://www.korodur.de/wp-content/uploads/2024/06/Industrial_floor_dry_mortars_SDB_en.pdf,pdf
KOROCURE_SDB_en.pdf,korocure_sdb,SDB/SDS,en,Material safety data sheets [page],ja,https://www.korodur.de/wp-content/uploads/2024/06/KOROCURE_SDB_en.pdf,pdf
