source,target,status,art,note
/fr/produit/microtop-tw-8/,/fr/produkte/microtop-tw-8/,301,produkt,
/fr/produit/microtop-tw-bm/,/fr/produkte/microtop-tw-bm/,301,produkt,
/fr/produit/microtop-tw-mineral/,/fr/produkte/microtop-tw-mineral/,301,produkt,
/fr/produit/microtop-tw-nsm/,/fr/produkte/microtop-tw-nsm/,301,produkt,
/fr/produit/microtop-tw-vsm/,/fr/produkte/microtop-tw-vsm/,301,produkt,
/fr/produit/mortar-mix/,/fr/produkte/rapid-set-mortar-mix/,301,produkt,Alt-Slug abweichend (mortar-mix)
/fr/produit/mortiers-de-calage/,/fr/produkte/neodur-vm-1/,301,produkt,Alt-Slug abweichend (mortiers-de-calage)
/fr/produit/neodur-he-2/,/fr/produkte/neodur-he-2/,301,produkt,
/fr/produit/neodur-he-3-green/,/fr/produkte/neodur-he-3-green/,301,variante,
/fr/produit/neodur-he-3-met-f/,/fr/produkte/neodur-he-3-metallisch/,301,variante,Alt-Slug abweichend (neodur-he-3-met-f)
/fr/produit/neodur-he-3-svs-15/,/fr/produkte/neodur-he-3-svs-15/,301,variante,
/fr/produit/neodur-he-3-svs-3/,/fr/produkte/neodur-he-3-svs-3/,301,variante,
/fr/produit/neodur-he-3/,/fr/produkte/neodur-he-3/,301,variante,
/fr/produit/neodur-he-40-und-he-40-8/,/fr/produkte/neodur-he-40/,301,produkt,Alt-Slug abweichend (neodur-he-40-und-he-40-8)
/fr/produit/neodur-he-60-rapid-metallisch-2/,/fr/produkte/neodur-he-60-rapid/,301,produkt,Alt-Slug abweichend (neodur-he-60-rapid-metallisch-2)
/fr/produit/neodur-he-60-rapid-svs-15-2/,/fr/produkte/neodur-he-60-rapid/,301,produkt,Alt-Slug abweichend (neodur-he-60-rapid-svs-15-2)
/fr/produit/neodur-he-60-rapid-svs-3/,/fr/produkte/neodur-he-60-rapid/,301,produkt,Alt-Slug abweichend (neodur-he-60-rapid-svs-3)
/fr/produit/neodur-he-60-rapid/,/fr/produkte/neodur-he-60-rapid/,301,produkt,
/fr/produit/neodur-he-65-metallisch/,/fr/produkte/neodur-he-65-metallisch/,301,variante,
/fr/produit/neodur-he-65-plus-svs-3/,/fr/produkte/neodur-he-65-plus-svs-3/,301,variante,
/fr/produit/neodur-he-65-plus/,/fr/produkte/neodur-he-65-plus/,301,variante,
/fr/produit/neodur-he-65-svs-15/,/fr/produkte/neodur-he-65-svs-15/,301,variante,
/fr/produit/neodur-he-65-svs-3/,/fr/produkte/neodur-he-65-svs-3/,301,variante,
/fr/produit/neodur-he-65/,/fr/produkte/neodur-he-65/,301,variante,
/fr/produit/neodur-level-au/,/fr/produkte/neodur-level-au/,301,produkt,
/fr/produit/neodur-level/,/fr/produkte/neodur-level/,301,produkt,
/fr/produit/neodur-mortiers-de-calage-kopie/,/fr/produkte/neodur-vm-basic/,301,produkt,Alt-Slug abweichend (neodur-mortiers-de-calage-kopie)
/fr/produit/neodur-msm-3-msm-5-msb-8/,/fr/produkte/neodur-msm-3/,301,produkt,Alt-Slug abweichend (neodur-msm-3-msm-5-msb-8)
/fr/produit/neodur-pfm-ze/,/fr/produkte/neodur-pfm-ze/,301,produkt,
/fr/produit/neodur-svm-03/,/fr/produkte/neodur-svm-03/,301,produkt,
/fr/produit/tru-pc/,/fr/produkte/tru-pc/,301,produkt,
/fr/produit/tru-self-leveling/,/fr/produkte/tru-self-leveling/,301,produkt,
/fr/produit/tru-sp/,/fr/produkte/tru-sp/,301,produkt,
/produkt/asphalt-repair-mix/,/de/produkte/asphalt-repair-mix/,301,produkt,
/produkt/cement-all/,/de/produkte/rapid-set-cement-all/,301,produkt,Alt-Slug abweichend (cement-all)
/produkt/concrete-mix/,/de/produkte/rapid-set-concrete-mix/,301,produkt,Alt-Slug abweichend (concrete-mix)
/produkt/concrete-pharmacy/,/de/produkte/rapid-set-concrete-pharmacy/,301,produkt,Alt-Slug abweichend (concrete-pharmacy)
/produkt/dot-europe-concrete-mix/,/de/produkte/dot-europe-concrete-mix/,301,produkt,
/produkt/durop/,/de/produkte/korodur-durop/,301,produkt,Alt-Slug abweichend (durop)
/produkt/goodcat-golden-nature/,/de/bereiche/katzenstreu/,301,eingestellt,kein Produkt mehr → Bereichsseite
/produkt/goodcat-organic-love/,/de/bereiche/katzenstreu/,301,eingestellt,kein Produkt mehr → Bereichsseite
/produkt/goodcat-silver-classic/,/de/bereiche/katzenstreu/,301,eingestellt,kein Produkt mehr → Bereichsseite
/produkt/granidur-bianco-nero/,/de/produkte/granidur-bianco-nero/,301,produkt,
/produkt/granidur/,/de/produkte/granidur/,301,produkt,
/produkt/kcf/,/de/produkte/kcf/,301,produkt,
/produkt/koroclean/,/de/produkte/koroclean/,301,produkt,
/produkt/korocrete/,/de/produkte/korocrete/,301,produkt,
/produkt/korocure/,/de/produkte/korocure/,301,produkt,
/produkt/korodur-0-4/,/de/produkte/korodur-0-4/,301,produkt,
/produkt/korodur-diamond-concrete/,/de/produkte/korodur-diamantbeton/,301,produkt,Alt-Slug abweichend (korodur-diamond-concrete)
/produkt/korodur-easyfinish/,/de/produkte/korodur-easyfinish/,301,produkt,
/produkt/korodur-fscem-screed/,/de/produkte/korodur-fscem-screed/,301,produkt,
/produkt/korodur-fscem/,/de/produkte/korodur-fscem/,301,produkt,
/produkt/korodur-hb-5-rapid/,/de/produkte/korodur-hb-5-rapid/,301,produkt,
/produkt/korodur-hb-5/,/de/produkte/korodur-hb-5/,301,produkt,
/produkt/korodur-nanofinish/,/de/produkte/korodur-nanofinish/,301,produkt,
/produkt/korodur-pc/,/de/produkte/korodur-pc/,301,produkt,
